time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.1246647968e-08,1.95974937307e-07,10.0034403467,0.000195669804547,6.28276765984,0.0,1.37546261165e-05,1.7443370707e-05,0.114672833597,0.00909461443054,-0.0269229675336,0.0,443.8121681115265,441.5973571618649,439.97630651286545,440.72843654232867
0.12000000000000001,1.63861407027e-05,8.05700710372e-06,10.0146141694,0.0010115478783,6.28070216262,0.0,0.000725503568873,0.000319734160118,0.257765499362,0.021352369959,-0.0569254416548,0.0,451.98554825541544,449.5608093823956,449.5096117918892,450.50156114434014
0.18,0.000137247703861,5.83159566966e-05,10.0372272032,0.00238706256903,6.27694141114,0.0,0.00373797463294,0.00151836293935,0.495927106624,0.0258984485309,-0.0778173944775,0.0,479.7741059846931,478.1828263483371,478.5214779590011,478.86735870575995
0.23999999999999996,0.000525713476171,0.000211745146081,10.0725008899,0.00422434693389,6.2726975966,0.0,0.00971690391235,0.003791259842,0.679766221585,0.0387001417318,-0.0593918075035,0.0,462.70121228284364,464.1455560609356,462.1306926260338,463.13878030398985
0.3,0.00136477295783,0.000546573214548,10.1185915571,0.00692476827742,6.26905589164,0.0,0.0186586878297,0.00765638951307,0.856466996399,0.0553165791069,-0.063436777035,0.0,461.90230744355625,461.580769803846,459.82168101109056,461.1370175287821
0.36000000000000004,0.00281971523462,0.00117650950243,10.1749299325,0.0103481027349,6.26487778552,0.0,0.0302780320727,0.0137168970456,1.02133575894,0.0603232909028,-0.0864287248678,0.0,458.27950442126905,456.44477457052284,458.06597552513625,458.4660218118675
0.4200000000000001,0.00501778617174,0.00221766382353,10.2383467786,0.0135613642516,6.25977912871,0.0,0.0434921303336,0.0213267351817,1.09247912692,0.0344400354443,-0.0822245561676,0.0,428.139458253152,428.49072896293967,430.32231949931617,428.1278409204739
0.48000000000000015,0.00820183743862,0.00382723103399,10.3098674108,0.0159819724473,6.25509481293,0.0,0.0631975226486,0.03258647244,1.29132001251,0.0501031933546,-0.070849516459,0.0,468.38487404792176,469.2640206040747,467.57435711957834,468.79360775880076
0.5400000000000001,0.0126370573013,0.00615120437536,10.3919723614,0.0191947469648,6.25032560305,0.0,0.0851207088999,0.045218834276,1.44530821249,0.0596675940927,-0.108656433466,0.0,457.08507735463786,454.0567898534507,455.02338285592214,455.7901360796926
0.6000000000000002,0.0184092955134,0.00925171945437,10.480541217,0.022430207397,6.24362118654,0.0,0.107920398038,0.0584612379287,1.50687673078,0.0388219437611,-0.118751010806,0.0,427.80414790153725,426.9321152519627,427.13621234572116,425.356893405497
0.6600000000000003,0.0258439154904,0.0132957457344,10.5767522763,0.0248059193885,6.23671490102,0.0,0.140700244221,0.0766049161534,1.69984832535,0.0410981468015,-0.10866607962,0.0,466.85542557054526,467.63039384960274,468.53967718341164,468.7172962017015
0.7200000000000003,0.0353102469617,0.0184344864286,10.6825559176,0.0272510446387,6.23045470251,0.0,0.175510325075,0.0949406293975,1.82670178694,0.0400510205045,-0.096848237926,0.0,448.0864551135036,449.03661158537466,448.48999769277793,448.40579931273123
0.7800000000000004,0.046943884641,0.0246989185452,10.7949774155,0.0302747974895,6.22464847805,0.0,0.212855657856,0.114148014169,1.92048309434,0.065628182657,-0.0966153190803,0.0,438.9597730007038,438.97096889890344,437.2316968122954,439.35882365097524
0.8400000000000004,0.061149621535,0.0322939403782,10.9166092571,0.034285248717,6.21987316671,0.0,0.261258109682,0.139477990885,2.13347874646,0.0691610143736,-0.0579865225877,0.0,474.7924285145918,477.74138977705627,474.47081698973625,474.7449697377622
0.9000000000000005,0.0783108421633,0.0414760364794,11.050158416,0.0385347721427,6.21656353402,0.0,0.311145671155,0.167058705586,2.31775249864,0.0739604739444,-0.0500372812732,0.0,468.38465283165635,469.00054194391623,466.7723681601,467.15031802005643
0.9600000000000005,0.0982165844605,0.0522232949931,11.1899537505,0.0426867340674,6.21359862515,0.0,0.352643989445,0.191571736714,2.34199906834,0.0573965417264,-0.0481994586572,0.0,418.2368508720051,418.39519391305083,418.92510571811255,417.48626056313236
1.0200000000000005,0.120984259533,0.0647107435227,11.3357234493,0.0464813914631,6.21045637685,0.0,0.406588324925,0.225069543112,2.51656690671,0.0729254454137,-0.0623874278704,0.0,466.42554841575435,465.31451122791475,465.4798732492914,466.69612815585435
1.0800000000000005,0.147031423535,0.0792773864684,11.4915200311,0.0508549611358,6.20641123566,0.0,0.462048652162,0.260949767143,2.67621991244,0.0728275495269,-0.0800866719925,0.0,463.37448775424804,461.9777107200661,462.09575654502476,462.09193732523875
1.1400000000000006,0.176095929588,0.095825975829,11.6516880767,0.0553788094028,6.20169706763,0.0,0.507171898835,0.291047289198,2.66267910229,0.0800944235959,-0.0756974012056,0.0,407.90981284418405,408.2960534265431,406.8073190296354,407.46251854177666
1.2000000000000006,0.208122162188,0.114378891796,11.8131530912,0.0596641607438,6.1977795337,0.0,0.560751650197,0.327817420873,2.71927591651,0.0419958072139,-0.0499954956005,0.0,430.36635499519025,432.5327542978256,432.41787453466895,429.2001640606948
1.2600000000000007,0.243664939676,0.135375322127,11.980686058,0.0633801694398,6.19438387808,0.0,0.624311728968,0.372393360418,2.86472561713,0.0858039244314,-0.0749912880185,0.0,460.8973374205308,458.9152802303907,457.4147554134267,460.892451408308
